Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League
8	P	JC Wimpassing Sparkasse	11	101	Judoteam SHIAI DO	3	27	Final4 Damen-Bundesliga	2017	2018-07-07T00:00:00.000Z	13:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	Judoteam SHIAI DO	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	Final4 Damen-Bundesliga
8	P	café+co Wien	9	84	ESV Sanjindo	5	47	Final4 Damen-Bundesliga	2017	2018-07-07T00:00:00.000Z	14:15:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JC Sanjindo	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	Final4 Damen-Bundesliga
9	P	JC Wimpassing Sparkasse	8	74	café+co Wien	6	57	Final4 Damen-Bundesliga	2017	2018-07-07T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	Vienna Samurai	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	Final4 Damen-Bundesliga
1	G	JC Wimpassing Sparkasse	11	92	UJZ Mühlviertel	3	27	Damen-Bundesliga	2017	2017-10-14T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	UJZ Mühlviertel	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	Damen-Bundesliga
1	G	Judoteam SHIAI DO	4	28	ESV Sanjindo	10	97	Damen-Bundesliga	2017	2017-10-26T00:00:00.000Z	17:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	JC Sanjindo	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Ballspielhalle Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Ballspielhalle Franz Fürst Freizeitzentrum	Damen-Bundesliga
2	G	Judoteam SHIAI DO	6	57	JC Wimpassing Sparkasse	8	80	Damen-Bundesliga	2017	2018-03-16T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judoteam SHIAI DO	JC Wimpassing	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Ballspielhalle Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Ballspielhalle Franz Fürst Freizeitzentrum	Damen-Bundesliga
3	G	JC Wimpassing Sparkasse	9	87	café+co Wien	5	50	Damen-Bundesliga	2017	2018-04-21T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	Vienna Samurai	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	Damen-Bundesliga
3	G	UJZ Mühlviertel	6	57	Judoteam SHIAI DO	8	80	Damen-Bundesliga	2017	2018-04-21T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Judoteam SHIAI DO	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Josef Reiter Halle @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	Josef Reiter Halle	Damen-Bundesliga
4	G	UJZ Mühlviertel	4	40	café+co Wien	10	94	Damen-Bundesliga	2017	2018-05-05T00:00:00.000Z	16:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Vienna Samurai	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Josef Reiter Halle @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	Josef Reiter Halle	Damen-Bundesliga
5	G	ESV Sanjindo	7	67	JC Wimpassing Sparkasse	7	67	Damen-Bundesliga	2017	2018-05-12T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	JC Wimpassing	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	Damen-Bundesliga
6	G	café+co Wien	10	94	Judoteam SHIAI DO	4	40	Damen-Bundesliga	2017	2018-05-19T00:00:00.000Z	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	Judoteam SHIAI DO	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Sportanlage Strebersdorf @ 1210 Wien, Anton Böck Gasse 22	1210	Wien	Anton Böck Gasse 22	Sportanlage Strebersdorf	Damen-Bundesliga
6	G	ESV Sanjindo	9	84	UJZ Mühlviertel	5	47	Damen-Bundesliga	2017	2018-05-19T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	UJZ Mühlviertel	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	Damen-Bundesliga
7	G	café+co Wien	8	77	ESV Sanjindo	6	60	Damen-Bundesliga	2017	2018-06-16T00:00:00.000Z	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JC Sanjindo	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Kurt-Kucera-Halle @ Jura-Soyfer-Gasse 3, 1100 Wien	1100	Wien	Jura-Soyfer-Gasse 3	Kurt-Kucera-Halle	Damen-Bundesliga
